capacity_max|Maximum capacity (number of people)|number|person
product_ty_attr_128|Ekran Boyutu (inç)|enum|
product_ty_attr_1281|Refill|enum|
product_ty_attr_1283|Overclock|enum|
product_ty_attr_1284|Kulaklık Modeli|enum|
product_ty_attr_1288|Trendyol Özellik 1288|enum|
product_ty_attr_1289|Trendyol Özellik 1289|enum|
product_ty_attr_1290|Trendyol Özellik 1290|enum|
product_ty_attr_1291|Trendyol Özellik 1291|enum|
product_ty_attr_1292|Trendyol Özellik 1292|enum|
product_ty_attr_1293|Trendyol Özellik 1293|enum|
product_ty_attr_1308|Trendyol Özellik 1308|enum|
product_ty_attr_131|Ekran Kartı Hafızası|enum|
product_ty_attr_1311|Kadran Renk|enum|
product_ty_attr_1312|Emzik Uç Materyali|enum|
product_ty_attr_1313|Emzik Uç Tipi|enum|
product_ty_attr_1315|Biberon Uç Materyali|enum|
product_ty_attr_133|Görüntüleme Teknolojisi|enum|
product_ty_attr_134|Enerji Sınıfı|enum|
product_ty_attr_135|Enerji Sınıfı - Isıtma|enum|
product_ty_attr_136|Enerji Sınıfı - Soğutma|enum|
product_ty_attr_137|Eşanjör Sayısı|enum|
product_ty_attr_138|Trendyol Özellik 138|enum|
product_ty_attr_139|Trendyol Özellik 139|enum|
product_ty_attr_14|Materyal|enum|
product_ty_attr_140|Filtre Sayısı|enum|
product_ty_attr_141|Filtre Tipi|enum|
product_ty_attr_142|Fonksiyon|enum|
product_ty_attr_143|Format|enum|
product_ty_attr_144|Fotoğraf Çözünürlük|enum|
product_ty_attr_145|Trendyol Özellik 145|enum|
product_ty_attr_146|Genişlik|enum|
product_ty_attr_148|Giriş/Çıkış Portları|enum|
product_ty_attr_149|Görüntü Kalitesi|enum|
product_ty_attr_15|Mekanizma|enum|
product_ty_attr_151|Trendyol Özellik 151|enum|
product_ty_attr_153|Ses Seviyesi|enum|
product_ty_attr_154|Trendyol Özellik 154|enum|
product_ty_attr_155|Hafıza Kartı Tipi|enum|
product_ty_attr_157|HDMI Giriş Sayısı|enum|
product_ty_attr_158|Hedef|enum|
product_ty_attr_159|Hız Ayarı|enum|
product_ty_attr_160|Hoparlör / Kulaklık /Çıkış Fişi|enum|
product_ty_attr_163|Isıtma Gücü|enum|
product_ty_attr_164|Isıtma Kapasitesi|enum|
product_ty_attr_165|Trendyol Özellik 165|enum|
product_ty_attr_168|İşlemci Tipi|enum|
product_ty_attr_169|Temel İşlemci Hızı (GHz)|enum|
product_ty_attr_17|Paça Tipi|enum|
product_ty_attr_171|Jant|enum|
product_ty_attr_174|Kağıt Boyutu|enum|
product_ty_attr_176|Kağıt Tipi|enum|
product_ty_attr_177|Kalem Ucu Boyutu|enum|
product_ty_attr_178|Kalınlık|enum|
product_ty_attr_179|Kalıp|enum|
product_ty_attr_18|Parça Sayısı|enum|
product_ty_attr_180|Trendyol Özellik 180|enum|
product_ty_attr_181|Kapak Türü|enum|
product_ty_attr_182|Kapak Sayısı|enum|
product_ty_attr_183|Kapama Şekli|enum|
product_ty_attr_184|Kapasite|enum|
product_ty_attr_185|Karat|enum|
product_ty_attr_186|Kasa Materyali|enum|
product_ty_attr_187|Kayıt Tipi|enum|
product_ty_attr_188|Kesim|enum|
product_ty_attr_189|Kişi Sayısı|enum|
product_ty_attr_191|Kol Boyu|enum|
product_ty_attr_193|Kordon Materyali|enum|
product_ty_attr_194|Trendyol Özellik 194|enum|
product_ty_attr_196|Kullanım Alanı|enum|
product_ty_attr_197|Kullanım Şekli|enum|
product_ty_attr_198|Kullanım Tipi|enum|
product_ty_attr_199|Kumaş Özellik|enum|
product_ty_attr_2|Boy / Ölçü|enum|
product_ty_attr_20|Tema / Stil|enum|
product_ty_attr_200|Kumaş Tipi|enum|
product_ty_attr_201|Kurutma Teknolojisi|enum|
product_ty_attr_203|Trendyol Özellik 203|enum|
product_ty_attr_204|Maksimum Isıl Güç|enum|
product_ty_attr_205|Maksimum Kurutma Kapasitesi|enum|
product_ty_attr_206|Maksimum Sıkma Devri|enum|
product_ty_attr_208|Mama Cinsi|enum|
product_ty_attr_21|Topuk Boyu|enum|
product_ty_attr_210|Dokunmatik Ekran|enum|
product_ty_attr_211|Trendyol Özellik 211|enum|
product_ty_attr_212|Mouse Hassasiyeti (Dpi)|enum|
product_ty_attr_213|Trendyol Özellik 213|enum|
product_ty_attr_214|Ocak Tipi|enum|
product_ty_attr_215|Ocak Yüzeyi|enum|
product_ty_attr_216|Okuma Hızı|enum|
product_ty_attr_218|Optik Zoom|enum|
product_ty_attr_219|Oturum Yumuşaklığı|enum|
product_ty_attr_22|Yaka Tipi|enum|
product_ty_attr_221|Ölçü|enum|
product_ty_attr_222|Özel Filtreler|enum|
product_ty_attr_223|Paça Boyu|enum|
product_ty_attr_226|Pil Gücü (mAh)|enum|
product_ty_attr_227|Pişirme Fonksiyon Sayısı|enum|
product_ty_attr_228|Power Supply|enum|
product_ty_attr_229|Program Sayısı|enum|
product_ty_attr_23|Ekran Boyutu|enum|
product_ty_attr_231|Raf Sayısı|enum|
product_ty_attr_232|Ram (Sistem Belleği)|enum|
